termo,frequencia
biogas,106
concreto,106
avaliada,106
inicialmente,106
melhoria,106
sensores,106
configuracoes,106
alteracoes,105
obtido,105
direta,105
catalisadores,105
destilacao,105
associados,105
formulacao,104
semicondutores,104
estimar,104
expansao,104
fosseis,104
conta,104
cinetica,104
melhores,103
mecanismo,103
criterios,103
interacoes,103
posteriormente,102
fenomenos,102
estudados,102
inicial,102
combinacao,102
desenvolvidas,102
responsavel,102
acoplamento,102
climaticas,102
boa,102
comparado,102
aproveitamento,101
superficial,101
relacionadas,101
compositos,101
mecanicas,101
especies,101
complexos,101
fluidos,101
diferenca,101
indice,101
revisao,101
requisitos,100
geometria,100
espaco,100
feita,100
aplicadas,100
verificouse,100
porte,100
injecao,100
apresentar,100
verde,100
operacional,100
irradiacao,99
offshore,99
aerogeradores,99
evolucao,99
seguintes,99
estrutural,99
anual,99
min,98
indicam,98
trocador,98
iluminacao,98
muitos,98
central,98
ocorrencia,98
possiveis,98
membrana,98
dispersao,98
energeticos,97
mundial,97
florianopolis,97
ambas,97
sensibilidade,97
permanente,97
interior,96
controlador,96
envolvendo,96
correlacao,96
maioria,96
viavel,96
utilizar,96
mudanca,96
residenciais,96
deposicao,95
camadas,95
dimensoes,95
dioxido,95
poluentes,95
eolicos,95
consequentemente,95
caracteristica,94
otimo,94
canais,94
diametro,94
veiculo,94
magnetico,94
oxido,94
necessaria,94
formas,93
promissora,93
conforto,93
avaliado,93
observado,93
instalacao,93
considerados,93
propostos,93
balanco,92
dias,92
ter,92
solidos,92
contudo,92
plataforma,91
escolha,91
consumidores,91
maximo,91
atender,91
agentes,91
especial,91
medida,91
oleos,91
implantacao,91
entao,90
contato,90
adequada,90
poder,90
controladores,90
filme,90
apresentado,90
condutividade,89
comprimento,89
experimentalmente,89
significativamente,89
finitos,89
disponibilidade,89
varias,89
produzir,89
decisao,89
limite,89
pratica,88
atingir,88
turbinas,88
paredes,88
ruido,88
investimento,88
comparar,88
principios,88
temas,88
estruturais,88
apresentando,87
troca,87
velocidades,87
algoritmos,87
conexao,87
emprego,87
tema,87
unico,87
adequado,87
complexidade,87
plano,87
execucao,87
publicas,87
sustentaveis,87
energeticas,87
ions,87
sinais,86
padroes,86
parques,86
resultando,86
outra,86
eletronicos,86
dinamico,85
auxiliar,85
gerada,85
modulacao,85
iii,85
camara,85
amplamente,85
economico,85
usina,85
cinco,84
ingles,84
externa,84
desafio,84
cobertura,84
procedimentos,84
limitacoes,84
ventos,84
acao,84
baseadas,84
social,84
incertezas,84
participacao,84
componente,83
produzidos,83
muitas,83
erros,83
tracao,83
resolucao,83
definicao,83
matematico,83
meses,83
somente,83
adicionalmente,83
quente,82
fisicos,82
aco,82
locais,82
produtividade,82
tendencia,82
intensidade,82
dominio,82
pico,82
rapida,82
polimerizacao,82
teorica,82
acima,82
empregados,82
derivados,81
elevadas,81
servicos,81
comunicacao,81
ambito,81
atuacao,81
cerca,81
eletrodos,81
organicos,80
atuais,80
abordagens,80
umidade,80
estudadas,80
conforme,80
parque,80
molecular,80
usuarios,80
selecao,80
envolvidos,80
acoes,80
fornecer,79
chama,79
permitem,79
conectados,79
ensaio,79
eolico,79
mestrado,79
voo,79
numericos,79
compreender,79
fusao,79
transiente,79
correntes,79
lineares,78
estagios,78
topologias,78
sociedade,78
refrigerante,78
teorico,78
treinamento,78
metais,78
comutacao,78
operar,78
possam,78
podendo,78
tempos,77
geralmente,77
validar,77
ultrassom,77
valvulas,77
vegetal,77
responsaveis,77
falha,77
cadeia,77
espessura,77
hibrido,77
leito,76
estufa,76
existem,76
separacao,76
morfologia,76
demais,76
with,76
grau,76
peso,76
descarga,76
imagens,76
celular,76
origem,76
exposicao,76
levando,75
turbina,75
respeito,75
parametro,75
impedancia,75
oxigenio,75
curva,75
systems,75
nitrogenio,75
substituicao,75
curvas,75
ativacao,75
permitiu,74
diante,74
informacao,74
ignicao,74
proveniente,74
relevantes,74
flexibilidade,74
isolamento,74
angulo,74
inferiores,74
carregamento,74
necessarios,74
otimizar,74
antes,74
teoricos,73
coletores,73
cobre,73
procedimento,73
apresentada,73
representa,73
comum,73
momento,73
bateria,73
ativa,73
evaporador,73
utilizam,72
construido,72
fenomeno,72
prever,72
propagacao,72
bastante,72
analisadas,72
neurais,72
limites,72
continuo,72
pequenas,72
forte,72
microrrede,72
tecnologico,71
sucesso,71
correlacoes,71
fisicas,71
doutorado,71
quimicas,71
manter,71
encontrados,71
incorporacao,71
usados,71
ajuste,71
mineral,71
usado,71
propor,71
estimacao,71
orientacao,71
estimativa,71
exploracao,71
consideracao,71
possibilitando,70
magneticos,70
fotovoltaicas,70
questao,70
difracao,70
inducao,70
transformadores,70
melhorias,70
infravermelho,70
interface,70
existencia,70
essencial,70
raios,70
hibridos,70
programacao,70
beneficios,70
direcao,70
complexo,69
etc,69
promover,69
associadas,69
desgaste,69
modos,69
design,69
associado,69
testados,69
disponivel,69
pequeno,69
organica,69
faz,69
provenientes,69
corrosao,68
alternativos,68
dia,68
secao,68
ieee,68
termossifoes,68
quimicos,68
numerico,68
mev,68
aumenta,68
atencao,68
resultou,68
efluentes,68
catalisador,68
representacao,68
diminuir,68
decisoes,68
normas,68
solido,68
matematica,68
altamente,68
criacao,68
prototipos,68
elevacao,68
fornecimento,68
conducao,68
equivalente,67
sinal,67
finalmente,67
economicos,67
estudado,67
oxidacao,67
ativos,67
testadas,67
liquida,67
contribuicoes,67
precisao,67
erro,67
toda,67
estudada,67
visto,67
naturais,67
permitir,67
pouco,67
associada,67
alcancar,67
curto,67
risco,66
paralelo,66
caracterizar,66
torno,66
reduzindo,66
condensador,66
metalicos,66
pirolise,66
comunidade,66
indicaram,66
gaseificacao,66
modificacao,66
atrito,66
clima,66
atmosfera,66
particular,66
opcao,66
refrigerador,66
frequencias,66
preditivo,65
centro,65
espectro,65
refrigeradores,65
nanotubos,65
funcionais,65
pesquisadores,65
instalada,65
unica,65
distintos,65
determinados,65
danos,65
classificacao,65
queda,65
meios,65
transformador,65
partes,65
posicao,65
conservacao,65
significativas,64
inteligentes,64
elevados,64
falta,64
decadas,64
compreensao,64
observada,64
control,64
eletrons,64
diferencial,64
perturbacoes,63
junto,63
valvula,63
considerado,63
otima,63
produzidas,63
tradicionais,63
zero,63
aumentando,63
indicando,63
ccm,63
lodo,63
verificacao,63
pequena,63
simular,63
plataformas,63
destacase,63
nominal,63
imas,63
fracao,63
dissipacao,63
considerada,63
frio,63
incerteza,63
proximos,62
queima,62
distintas,62
esperase,62
gerados,62
reduzida,62
hidraulico,62
magnetica,62
podese,62
empregando,62
implementado,62
consideradas,62
integrado,62
qualquer,62
interno,62
potencias,61
inferior,61
sequencia,61
estatico,61
entendimento,61
hidreletricas,61
espalhamento,61
abaixo,61
digital,61
gera,61
instalacoes,61
temporal,61
cogeracao,61
sonora,61
centros,61
microestrutura,61
paineis,61
determinada,61
minimo,61
torna,61
situacoes,60
especificamente,60
tarefas,60
significativo,60
distancia,60
liquidos,60
sodio,60
analisado,60
simulados,60
modificacoes,60
instalados,60
seis,60
hibrida,60
revestimento,60
especifica,60
brasileiras,60
gasosa,60
esforco,60
ideal,60
inicio,60
retorno,60
praticas,59
fio,59
lidar,59
usada,59
nessa,59
graduacao,59
definir,59
internacionais,59
cultivo,59
forno,59
parcial,59
descricao,59
adocao,59
integrados,59
norma,59
caracterizados,59
recentes,58
pressoes,58
potenciais,58
bom,58
controlar,58
filtro,58
celulose,58
altura,58
minimizar,58
tecnologica,58
solventes,58
geradoras,58
agente,58
reatores,58
penetracao,58
system,58
normalmente,58
numericas,58
demonstrou,58
especifico,58
politica,58
substrato,58
bacterias,58
contratacao,58
envolve,58
fadiga,58
operacoes,58
empregada,57
piloto,57
termodinamica,57
vertical,57
dado,57
liberacao,57
observados,57
centrais,57
usuario,57
aquisicao,57
titanio,57
mecanico,57
vidro,57
totais,57
comparadas,57
inspecao,57
aqui,57
ganhos,57
fresnel,57
cidades,57
variando,57
completo,57
variabilidade,57
compactos,57
continuidade,56
gerado,56
existe,56
arco,56
subsistemas,56
contribui,56
cooperacao,56
bar,56
envoltoria,56
relativa,56
amplitude,56
polimericos,56
fibras,56
oxidos,56
poros,56
auxilio,56
ligacao,56
calculos,56
composta,56
hidrocarbonetos,55
indices,55
vibracao,55
recentemente,55
fundamentos,55
limpa,55
concepcao,55
barramento,55
enxofre,55
instituicoes,55
multiplos,55
tornase,55
produzido,55
fazer,55
integrada,55
levantamento,55
aumentou,55
mesmos,55
modular,54
tomada,54
formulacoes,54
eficaz,54
elaboracao,54
distorcao,54
pretendese,54
tratamentos,54
ferro,54
espectrometria,54
grafeno,54
resulta,54
fortemente,54
possibilidades,54
fisico,54
depende,54
inclusao,54
substratos,54
malha,54
proximo,54
prova,54
considera,54
lei,54
tecnicos,53
finalidade,53
produzida,53
cuja,53
percentual,53
hidraulica,53
apresentadas,53
preparacao,53
cientifica,53
externo,53
defeitos,53
experimento,53
eolicas,53
aerogerador,53
evitar,53
coeficientes,53
carater,53
pecas,53
aprimoramento,53
ocupacao,53
usinagem,53
viscosidade,53
parede,53
decomposicao,53
residencial,53
fisicoquimicas,53
despacho,53
setores,53
ftir,53
opera,53
raiosx,53
torque,53
contra,53
dependencia,53
revestimentos,53
igual,52
capacitores,52
fundamentais,52
nacionais,52
climatizacao,52
geometrias,52
validado,52
mediante,52
regulacao,52
eletroquimica,52
blocos,52
massica,52
ultimas,52
mesmas,52
mostra,52
caracterizadas,52
espacial,52
poco,52
causa,52
considerar,52
uniao,52
banco,52
montagem,52
relacoes,52
volumes,51
buscando,51
rastreamento,51
atmosferica,51
termossifao,51
submetidos,51
previsoes,51
pessoas,51
acionamento,51
correcao,51
capitulo,51
influenciam,51
projetado,51
predicao,51
instalado,51
pequenos,51
analisada,51
posterior,51
investimentos,51
aplicabilidade,51
polimericas,51
precos,51
artigos,51
quantica,51
saude,50
tornar,50
catalitica,50
interruptores,50
visivel,50
atraso,50
avanco,50
rochas,50
descendente,50
robustez,50
irradiancia,50
observar,50
eletrodo,50
superiores,50
obteve,50
membros,50
fornece,50
esgoto,50
livres,50
requer,50
antioxidante,50
altos,50
preco,50
promissores,50
adicionais,50
feitas,50
observadas,50
direto,50
conveccao,50
feito,49
apoio,49
empregadas,49
solda,49
concordancia,49
relacionado,49
grandezas,49
mpc,49
conhecida,49
cidade,49
estaticos,49
xilose,49
pirita,49
compensacao,49
empregado,49
niquel,49
placa,49
resolver,49
adequadas,49
baixos,49
corpos,49
demonstram,49
ciencia,49
molar,49
demonstraram,49
relativamente,49
levar,49
especificas,49
acesso,49
representar,49
cor,49
reduzido,49
perspectiva,48
mostrando,48
ensino,48
destaque,48
questoes,48
metabolismo,48
quantidades,48
explorar,48
folhas,48
vegetais,48
conhecimentos,48
deformacao,48
nesses,48
quase,48
similares,48
comparada,48
demandas,48
rotacao,48
metalicas,48
madeira,48
automacao,47
complexa,47
infraestrutura,47
aprendizado,47
comercializacao,47
recurso,47
dar,47
choque,47
moleculares,47
bibliografica,47
basicos,47
molecula,47
proxima,47
capacitor,47
juntamente,47
alternada,47
existente,47
eficacia,47
resultantes,47
propoese,47
simultaneamente,47
dinamicas,47
cineticos,47
proximas,47
populacao,47
transformada,47
eixo,47
polimero,47
estrelas,47
alumina,46
capilar,46
primeiramente,46
conclusao,46
dependendo,46
representam,46
iniciais,46
grafite,46
medidos,46
mostrouse,46
miniemulsao,46
encontradas,46
acidos,46
sociais,46
hardware,46
calcular,46
sempre,46
vitro,46
arquiteturas,46
perfis,46
tecnologicos,46
optica,45
externas,45
khz,45
consequencia,45
dada,45
adotada,45
afetam,45
metano,45
trifasico,45
nucleares,45
contribuindo,45
rapido,45
bomba,45
cujo,45
amortecimento,45
efluente,45
minimizacao,45
gerais,45
futuro,45
programas,45
necessarias,45
proteinas,45
reduz,45
ventilacao,45
industrias,45
relevante,45
ativo,45
periodos,45
escoamentos,45
fenolicos,45
domesticos,44
futuras,44
dificil,44
identificados,44
solvente,44
drx,44
bifasico,44
melhora,44
ligacoes,44
situacao,44
cilindro,44
rota,44
enzimas,44
chamada,44
classe,44
inercia,44
conectado,44
ampla,44
ultimo,44
ocorrem,44
matrizes,44
fortes,44
tradicional,44
respostas,44
particula,44
arte,44
vidros,44
fins,44
corante,44
zona,44
transicoes,44
artificial,44
gasolina,44
evaporacao,44
associacao,44
rotas,44
significativos,44
essenciais,44
aproximacao,44
termodinamico,44
enzima,44
barreiras,43
concluise,43
transformacao,43
publica,43
conteudo,43
metalica,43
posgraduacao,43
competicao,43
compoem,43
esperado,43
internos,43
coleta,43
quantificacao,43
sol,43
elemento,43
nestes,43
multiplas,43
coordenacao,43
usadas,43
estatica,43
revelou,43
sombreamento,43
completa,43
alimentos,43
hidraulicos,43
ceramicas,43
metas,43
fluxos,43
subsistema,42
alteracao,42
traz,42
cultura,42
relacionada,42
colisoes,42
semelhantes,42
fixo,42
isolados,42
criar,42
hidrolise,42
acoplado,42
coluna,42
submetidas,42
vacuo,42
entender,42
forcas,42
utilizandose,42
proporcionar,42
receptor,42
estabelecer,42
boost,42
principio,42
estacao,42
acerca,42
incremento,42
fazem,42
economicas,42
atendimento,42
coberturas,42
legislacao,42
dureza,42
maximizar,42
tecnico,41
finais,41
retificador,41
oferta,41
bacteriana,41
torres,41
propriedade,41
supercritico,41
organizacao,41
trifasicos,41
adequacao,41
america,41
amido,41
adequados,41
testado,41
consumidor,41
localizacao,41
finos,41
isolado,41
funcional,41
submetido,41
constatouse,41
realidade,41
internas,41
corte,41
converter,41
horizonte,41
civil,41
riscos,41
teores,41
climas,41
silicio,41
monte,41
determinado,41
internacional,40
realizouse,40
flexao,40
vantagem,40
massas,40
fabricantes,40
minutos,40
oscilacoes,40
porosidade,40
humanos,40
oportunidades,40
formado,40
diz,40
batelada,40
sanitario,40
encontrar,40
controlada,40
passivos,40
densidades,40
supercapacitores,40
dividido,40
atomica,40
dificuldades,40
possa,40
expressao,40
sensiveis,40
nucleo,40
reservatorios,40
encontrada,40
moagem,40
eficiencias,40
glicose,40
analysis,40
atuador,40
suficiente,40
leva,40
referentes,40
alvo,40
nuvens,40
dependente,40
suspensao,39
modelar,39
torre,39
medir,39
gabinete,39
vibracoes,39
hoje,39
aplicar,39
permitiram,39
matematicos,39
aceitacao,39
ccms,39
ausencia,39
dinamicos,39
precisam,39
microondas,39
aditivos,39
trata,39
sco,39
filtros,39
estaveis,39
incidencia,39
azul,39
resistencias,39
residuais,39
investigada,39
localizada,39
logo,39
terceira,39
versao,39
sensor,39
eletroquimicos,39
par,39
lignina,39
temse,39
apontam,39
permanentes,39
secoes,39
oito,39
enfase,39
especie,39
quarks,39
previamente,39
conhecido,39
aspecto,39
proposito,39
fermentacao,39
deg,39
possibilita,39
fachadas,38
excelente,38
capital,38
objeto,38
evaporadores,38
aberto,38
comparativa,38
visao,38
fixacao,38
volumetrica,38
apresentase,38
simulado,38
destacamse,38
terra,38
inclui,38
inclusive,38
fibra,38
resultante,38
carlo,38
diminui,38
opcoes,38
definida,38
cabo,38
micro,38
seletividade,38
futuros,38
fourier,38
surge,38
constantes,37
aromaticos,37
implementada,37
medias,37
otimizada,37
quantificar,37
balanceamento,37
cisalhamento,37
poroso,37
microrganismos,37
comparativo,37
objetiva,37
aerofolio,37
nessas,37
analitico,37
puro,37
metal,37
aluminio,37
analiticos,37
residencias,37
succao,37
permeabilidade,37
esteres,37
indicou,37
contorno,37
gerando,37
envolvem,37
preocupacao,37
cabos,37
larga,37
cavidade,37
edificio,37
estocastica,37
telhado,37
estimativas,37
coletor,37
turbulencia,37
reservas,37
demonstrando,37
ebulicao,37
gap,37
divulgacao,37
proposicao,37
encontrado,37
assistida,37
aborda,37
parcela,37
nanoestruturados,37
tornando,37
denominado,37
pocos,37
acustica,37
determinadas,36
seguido,36
tecnologicas,36
harmonica,36
pos,36
indica,36
envolvidas,36
cromatografia,36
formato,36
transportadores,36
artificiais,36
avaliacoes,36
magneticas,36
fabricados,36
hibridas,36
passivo,36
poluicao,36
independente,36
comumente,36
vazoes,36
campus,36
similar,36
janelas,36
rns,36
precisa,36
competitividade,36
avancos,36
dupla,36
criticos,36
nordeste,36
sementes,36
otimizado,36
racional,36
efetiva,36
necessidades,36
estudantes,36
escolas,36
professores,35
sinterizacao,35
intervalo,35
pulso,35
calibracao,35
incluem,35
construtivos,35
consideravelmente,35
semelhante,35
topicos,35
razoes,35
superficiais,35
ultravioleta,35
geradas,35
bases,35
reducoes,35
ligas,35
bloco,35
aeronaves,35
estavel,35
causar,35
passo,35
ccca,35
biodiesel,35
excitacao,35
abertura,35
avalia,35
pas,35
destaca,35
encapsulacao,35
retencao,35
teorias,35
protons,35
barras,35
heat,35
development,35
poucos,35
garantia,35
mecanicos,35
cientifico,35
estatistica,35
are,35
esperados,35
precipitacao,35
definidas,35
projetar,35
afeta,35
microbiana,35
residencia,35
servico,35
minima,35
concessionaria,34
suprimento,34
dependentes,34
tipico,34
reservatorio,34
condutores,34
termo,34
divisao,34
extrato,34
domestico,34
ademais,34
globais,34
validados,34
deslocamento,34
publico,34
canal,34
energeticamente,34
pretende,34
arcondicionado,34
limpas,34
hidreletrica,34
salto,34
composito,34
interligado,34
cristalina,34
pesados,34
modelada,34
rio,34
dutos,34
investigados,34
acumulo,34
projetados,34
milho,34
reserva,34
primeiros,34
terceiro,34
descrito,34
suave,34
chaveado,34
efetividade,34
formados,34
economicamente,34
descrever,34
interessante,34
parceria,34
detalhada,34
consumida,34
escalas,34
espectros,33
tamanhos,33
litio,33
desvio,33
malhas,33
tunel,33
duracao,33
leis,33
independentes,33
viabilizar,33
diagnostico,33
diferenciais,33
tratados,33
compreende,33
fotocatalitica,33
linguagem,33
tecido,33
particularmente,33
equivalentes,33
amplo,33
favoraveis,33
aquoso,33
induzida,33
genes,33
tarifa,33
graus,33
armazenada,33
alocacao,33
promissoras,33
instrumentos,33
promocao,33
metalico,33
critica,33
bagaco,33
seco,33
causados,33
instrumentacao,33
manufatura,33
mpa,33
exige,33
data,32
uvvis,32
proporcionando,32
feixe,32
proporciona,32
exaustao,32
phys,32
construir,32
tanque,32
decaimento,32
bombeamento,32
atletas,32
percepcao,32
ventiladores,32
municipio,32
zonas,32
ativado,32
regressao,32
applications,32
avancados,32
textil,32
universidades,32
partida,32
acustico,32
reduzidos,32
capacitacao,32
tribologico,32
mitigar,32
aditivo,32
espacos,32
modelado,32
utilizouse,32
colunas,32
conduzidas,32
relevancia,32
probabilidade,32
quanticos,32
fornecida,32
exercicio,32
casa,32
refere,32
extratos,32
enzimatica,32
suportes,32
praticamente,32
derivadas,32
circulacao,32
extremamente,32
nucleos,32
formando,32
ultima,32
trajetoria,32
lubrificante,32
espumas,32
habitacoes,32
inibicao,32
relativas,32
contem,31
variedade,31
resultaram,31
bons,31
reforma,31
mercados,31
obtevese,31
regional,31
criterio,31
superaquecimento,31
tao,31
termicamente,31
curtocircuito,31
exemplos,31
proprio,31
observase,31
quimico,31
embarcacoes,31
toxicidade,31
agitacao,31
comunidades,31
localizado,31
reativa,31
resina,31
substituir,31
teoricas,31
testar,31
formar,31
ciencias,31
canadeacucar,31
fasorial,31
hipoteses,31
investigadas,31
estabelecidos,31
individuos,31
dimensao,31
publicos,31
anteriores,31
memoria,31
ararangua,31
aguas,31
metricas,31
descritas,31
ocorreu,31
definido,31
caracterizado,31
correspondente,31
eletronicas,31
alternativo,31
proteina,31
fracoes,31
imobilizacao,31
secador,31
categorias,31
desvios,31
observacoes,31
operam,31
jatos,31
nestas,30
duplo,30
movimentacao,30
caminho,30
chamado,30
comparacoes,30
